2026-06-05 18:58:49 INFO research_news.llm.pipeline: scoring batch 44/48 (8 papers) ...
2026-06-05 18:58:59 INFO research_news.llm.pipeline: score batch 44: parsed 8 scores
2026-06-05 18:58:59 INFO research_news.llm.pipeline: scoring batch 45/48 (8 papers) ...
2026-06-05 18:59:06 INFO research_news.llm.pipeline: score batch 45: parsed 8 scores
2026-06-05 18:59:06 INFO research_news.llm.pipeline: scoring batch 46/48 (8 papers) ...
2026-06-05 18:59:16 INFO research_news.llm.pipeline: score batch 46: parsed 8 scores
2026-06-05 18:59:16 INFO research_news.llm.pipeline: scoring batch 47/48 (8 papers) ...
2026-06-05 18:59:24 INFO research_news.llm.pipeline: score batch 47: parsed 8 scores
2026-06-05 18:59:24 INFO research_news.llm.pipeline: scoring batch 48/48 (8 papers) ...
2026-06-05 18:59:33 INFO research_news.llm.pipeline: score batch 48: parsed 8 scores
2026-06-05 18:59:33 INFO research_news.llm.pipeline: score distribution: min=0.0 max=9.0 mean=1.6  (matched 384/384 papers)
2026-06-05 18:59:33 INFO research_news.journals: summarizing 384 papers (model=glm-5.1) ...
2026-06-05 19:01:13 WARNING research_news.llm.pipeline: summary parse failed for 10.1109/tit.2026.3681197, retrying LLM call
2026-06-05 19:02:20 WARNING research_news.llm.pipeline: summary parse failed for 10.1109/tit.2026.3658855, retrying LLM call
2026-06-05 19:02:31 WARNING research_news.llm.pipeline: summary salvaged (incomplete) for 10.1109/tit.2026.3658855 — flagged for rerun
2026-06-05 19:06:06 WARNING research_news.llm.pipeline: summary parse failed for 10.1109/tit.2026.3675977, retrying LLM call
2026-06-05 19:06:21 WARNING research_news.llm.pipeline: summary salvaged (incomplete) for 10.1109/tit.2026.3675977 — flagged for rerun
2026-06-05 19:07:10 WARNING research_news.llm.pipeline: summary parse failed for 10.1109/tpami.2026.3659463, retrying LLM call
2026-06-05 19:07:21 WARNING research_news.llm.pipeline: summary salvaged (incomplete) for 10.1109/tpami.2026.3659463 — flagged for rerun
2026-06-05 19:07:48 WARNING research_news.llm.pipeline: summary parse failed for 10.1109/tpami.2026.3652303, retrying LLM call
2026-06-05 19:20:54 WARNING research_news.llm.pipeline: summary parse failed for 10.1109/jsait.2024.3509420, retrying LLM call
2026-06-05 19:22:16 WARNING research_news.llm.pipeline: summary parse failed for 10.1109/tit.2026.3680247, retrying LLM call
2026-06-05 19:25:10 WARNING research_news.llm.pipeline: summary parse failed for 10.1109/tit.2026.3663678, retrying LLM call
2026-06-05 19:26:26 WARNING research_news.llm.pipeline: summary parse failed for 10.1109/tpami.2026.3657249, retrying LLM call
2026-06-05 19:37:35 WARNING research_news.llm.pipeline: summary parse failed for 10.1109/tit.2026.3659344, retrying LLM call
2026-06-05 19:40:37 WARNING research_news.llm.pipeline: summary parse failed for 10.1109/tpami.2026.3657354, retrying LLM call
2026-06-05 19:41:04 WARNING research_news.llm.pipeline: summary parse failed for 10.1109/tpami.2026.3660699, retrying LLM call
2026-06-05 19:42:53 WARNING research_news.llm.pipeline: summary parse failed for 10.1109/tpami.2026.3651319, retrying LLM call
