2026-05-24 16:26:17 INFO research_news.llm.pipeline: scoring batch 55/136 (8 papers) ...
2026-05-24 16:26:24 INFO research_news.llm.pipeline: score batch 55: parsed 8 scores
2026-05-24 16:26:24 INFO research_news.llm.pipeline: scoring batch 56/136 (8 papers) ...
2026-05-24 16:26:36 INFO research_news.llm.pipeline: score batch 56: parsed 8 scores
2026-05-24 16:26:36 INFO research_news.llm.pipeline: scoring batch 57/136 (8 papers) ...
2026-05-24 16:26:48 INFO research_news.llm.pipeline: score batch 57: parsed 8 scores
2026-05-24 16:26:48 INFO research_news.llm.pipeline: scoring batch 58/136 (8 papers) ...
2026-05-24 16:26:59 INFO research_news.llm.pipeline: score batch 58: parsed 8 scores
2026-05-24 16:26:59 INFO research_news.llm.pipeline: scoring batch 59/136 (8 papers) ...
2026-05-24 16:27:09 INFO research_news.llm.pipeline: score batch 59: parsed 8 scores
2026-05-24 16:27:09 INFO research_news.llm.pipeline: scoring batch 60/136 (8 papers) ...
2026-05-24 16:27:19 INFO research_news.llm.pipeline: score batch 60: parsed 8 scores
2026-05-24 16:27:19 INFO research_news.llm.pipeline: scoring batch 61/136 (8 papers) ...
2026-05-24 16:27:29 INFO research_news.llm.pipeline: score batch 61: parsed 8 scores
2026-05-24 16:27:29 INFO research_news.llm.pipeline: scoring batch 62/136 (8 papers) ...
2026-05-24 16:27:38 INFO research_news.llm.pipeline: score batch 62: parsed 8 scores
2026-05-24 16:27:38 INFO research_news.llm.pipeline: scoring batch 63/136 (8 papers) ...
2026-05-24 16:27:49 INFO research_news.llm.pipeline: score batch 63: parsed 8 scores
2026-05-24 16:27:49 INFO research_news.llm.pipeline: scoring batch 64/136 (8 papers) ...
2026-05-24 16:28:04 INFO research_news.llm.pipeline: score batch 64: parsed 8 scores
2026-05-24 16:28:04 INFO research_news.llm.pipeline: scoring batch 65/136 (8 papers) ...
2026-05-24 16:28:14 INFO research_news.llm.pipeline: score batch 65: parsed 8 scores
2026-05-24 16:28:14 INFO research_news.llm.pipeline: scoring batch 66/136 (8 papers) ...
2026-05-24 16:28:27 INFO research_news.llm.pipeline: score batch 66: parsed 8 scores
2026-05-24 16:28:27 INFO research_news.llm.pipeline: scoring batch 67/136 (8 papers) ...
2026-05-24 16:28:38 INFO research_news.llm.pipeline: score batch 67: parsed 8 scores
2026-05-24 16:28:38 INFO research_news.llm.pipeline: scoring batch 68/136 (8 papers) ...
2026-05-24 16:28:48 INFO research_news.llm.pipeline: score batch 68: parsed 8 scores
2026-05-24 16:28:48 INFO research_news.llm.pipeline: scoring batch 69/136 (8 papers) ...
2026-05-24 16:29:01 INFO research_news.llm.pipeline: score batch 69: parsed 8 scores
2026-05-24 16:29:01 INFO research_news.llm.pipeline: scoring batch 70/136 (8 papers) ...
2026-05-24 16:29:11 INFO research_news.llm.pipeline: score batch 70: parsed 8 scores
2026-05-24 16:29:11 INFO research_news.llm.pipeline: scoring batch 71/136 (8 papers) ...
2026-05-24 16:29:20 INFO research_news.llm.pipeline: score batch 71: parsed 8 scores
2026-05-24 16:29:20 INFO research_news.llm.pipeline: scoring batch 72/136 (8 papers) ...
2026-05-24 16:29:31 INFO research_news.llm.pipeline: score batch 72: parsed 8 scores
2026-05-24 16:29:31 INFO research_news.llm.pipeline: scoring batch 73/136 (8 papers) ...
2026-05-24 16:29:43 INFO research_news.llm.pipeline: score batch 73: parsed 8 scores
2026-05-24 16:29:43 INFO research_news.llm.pipeline: scoring batch 74/136 (8 papers) ...
2026-05-24 16:29:53 INFO research_news.llm.pipeline: score batch 74: parsed 8 scores
2026-05-24 16:29:53 INFO research_news.llm.pipeline: scoring batch 75/136 (8 papers) ...
2026-05-24 16:30:05 INFO research_news.llm.pipeline: score batch 75: parsed 8 scores
2026-05-24 16:30:05 INFO research_news.llm.pipeline: scoring batch 76/136 (8 papers) ...
2026-05-24 16:30:15 INFO research_news.llm.pipeline: score batch 76: parsed 8 scores
2026-05-24 16:30:15 INFO research_news.llm.pipeline: scoring batch 77/136 (8 papers) ...
2026-05-24 16:30:25 INFO research_news.llm.pipeline: score batch 77: parsed 8 scores
2026-05-24 16:30:25 INFO research_news.llm.pipeline: scoring batch 78/136 (8 papers) ...
2026-05-24 16:30:36 INFO research_news.llm.pipeline: score batch 78: parsed 8 scores
2026-05-24 16:30:36 INFO research_news.llm.pipeline: scoring batch 79/136 (8 papers) ...
2026-05-24 16:30:46 INFO research_news.llm.pipeline: score batch 79: parsed 8 scores
2026-05-24 16:30:46 INFO research_news.llm.pipeline: scoring batch 80/136 (8 papers) ...
2026-05-24 16:30:58 INFO research_news.llm.pipeline: score batch 80: parsed 8 scores
2026-05-24 16:30:58 INFO research_news.llm.pipeline: scoring batch 81/136 (8 papers) ...
2026-05-24 16:31:09 INFO research_news.llm.pipeline: score batch 81: parsed 8 scores
2026-05-24 16:31:09 INFO research_news.llm.pipeline: scoring batch 82/136 (8 papers) ...
