2026-05-23 22:01:58 INFO research_news.journals: journals run: groups=['core', 'prob_stats', 'applied', 'econ', 'astro', 'epi', 'ieee'], only=['astro']
2026-05-23 22:29:29 INFO research_news.llm.pipeline: score batch 47: parsed 8 scores
2026-05-23 22:29:29 INFO research_news.llm.pipeline: scoring batch 48/89 (8 papers) ...
2026-05-23 22:29:37 INFO research_news.llm.pipeline: score batch 48: parsed 8 scores
2026-05-23 22:29:37 INFO research_news.llm.pipeline: scoring batch 49/89 (8 papers) ...
2026-05-23 22:29:44 INFO research_news.llm.pipeline: score batch 49: parsed 8 scores
2026-05-23 22:29:44 INFO research_news.llm.pipeline: scoring batch 50/89 (8 papers) ...
2026-05-23 22:29:58 INFO research_news.llm.pipeline: score batch 50: parsed 8 scores
2026-05-23 22:29:58 INFO research_news.llm.pipeline: scoring batch 51/89 (8 papers) ...
2026-05-23 22:30:11 INFO research_news.llm.pipeline: score batch 51: parsed 8 scores
2026-05-23 22:30:11 INFO research_news.llm.pipeline: scoring batch 52/89 (8 papers) ...
2026-05-23 22:30:24 INFO research_news.llm.pipeline: score batch 52: parsed 8 scores
2026-05-23 22:30:24 INFO research_news.llm.pipeline: scoring batch 53/89 (8 papers) ...
2026-05-23 22:30:30 INFO research_news.llm.pipeline: score batch 53: parsed 8 scores
2026-05-23 22:30:30 INFO research_news.llm.pipeline: scoring batch 54/89 (8 papers) ...
2026-05-23 22:30:44 INFO research_news.llm.pipeline: score batch 54: parsed 8 scores
2026-05-23 22:30:44 INFO research_news.llm.pipeline: scoring batch 55/89 (8 papers) ...
2026-05-23 22:30:50 INFO research_news.llm.pipeline: score batch 55: parsed 8 scores
2026-05-23 22:30:50 INFO research_news.llm.pipeline: scoring batch 56/89 (8 papers) ...
2026-05-23 22:32:58 INFO research_news.llm.pipeline: score batch 56: parsed 8 scores
2026-05-23 22:32:58 INFO research_news.llm.pipeline: scoring batch 57/89 (8 papers) ...
2026-05-23 22:35:04 INFO research_news.llm.pipeline: score batch 57: parsed 8 scores
2026-05-23 22:35:04 INFO research_news.llm.pipeline: scoring batch 58/89 (8 papers) ...
2026-05-23 22:35:12 INFO research_news.llm.pipeline: score batch 58: parsed 8 scores
2026-05-23 22:35:12 INFO research_news.llm.pipeline: scoring batch 59/89 (8 papers) ...
2026-05-23 22:35:23 INFO research_news.llm.pipeline: score batch 59: parsed 8 scores
2026-05-23 22:35:23 INFO research_news.llm.pipeline: scoring batch 60/89 (8 papers) ...
2026-05-23 22:35:30 INFO research_news.llm.pipeline: score batch 60: parsed 8 scores
2026-05-23 22:35:30 INFO research_news.llm.pipeline: scoring batch 61/89 (8 papers) ...
2026-05-23 22:35:42 INFO research_news.llm.pipeline: score batch 61: parsed 8 scores
2026-05-23 22:35:42 INFO research_news.llm.pipeline: scoring batch 62/89 (8 papers) ...
2026-05-23 22:35:57 INFO research_news.llm.pipeline: score batch 62: parsed 8 scores
2026-05-23 22:35:57 INFO research_news.llm.pipeline: scoring batch 63/89 (8 papers) ...
2026-05-23 22:36:12 INFO research_news.llm.pipeline: score batch 63: parsed 8 scores
2026-05-23 22:36:12 INFO research_news.llm.pipeline: scoring batch 64/89 (8 papers) ...
2026-05-23 22:36:20 INFO research_news.llm.pipeline: score batch 64: parsed 8 scores
2026-05-23 22:36:20 INFO research_news.llm.pipeline: scoring batch 65/89 (8 papers) ...
2026-05-23 22:36:27 INFO research_news.llm.pipeline: score batch 65: parsed 8 scores
2026-05-23 22:36:27 INFO research_news.llm.pipeline: scoring batch 66/89 (8 papers) ...
2026-05-23 22:36:38 INFO research_news.llm.pipeline: score batch 66: parsed 8 scores
2026-05-23 22:36:38 INFO research_news.llm.pipeline: scoring batch 67/89 (8 papers) ...
2026-05-23 22:36:49 INFO research_news.llm.pipeline: score batch 67: parsed 8 scores
2026-05-23 22:36:49 INFO research_news.llm.pipeline: scoring batch 68/89 (8 papers) ...
2026-05-23 22:36:58 INFO research_news.llm.pipeline: score batch 68: parsed 8 scores
2026-05-23 22:36:58 INFO research_news.llm.pipeline: scoring batch 69/89 (8 papers) ...
